epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,699.271,0.2896,0.589,0.8868,0.99432,0.99433,0.9939,0.99364,0.09027,0.1915,0.72499,0.00333282,0.00333282,0.00333282
2,1371.1,0.19814,0.25192,0.82336,0.99382,0.99542,0.99493,0.99489,0.06115,0.12319,0.71508,0.00653416,0.00653416,0.00653416
3,2040.22,0.18834,0.20751,0.81913,0.99362,0.99565,0.99491,0.99486,0.05349,0.09543,0.71136,0.0096035,0.0096035,0.0096035
4,2707.93,0.15998,0.17574,0.81211,0.9937,0.99563,0.9949,0.99486,0.04285,0.07512,0.70959,0.009406,0.009406,0.009406
5,3374.1,0.13466,0.15359,0.8071,0.99539,0.99357,0.99492,0.99488,0.0373,0.06117,0.70784,0.009208,0.009208,0.009208
6,4032.66,0.1221,0.14157,0.80435,0.99512,0.99683,0.99494,0.99491,0.03646,0.067,0.70721,0.00901,0.00901,0.00901
7,4688.74,0.11402,0.13381,0.80301,0.99619,0.99717,0.99495,0.99493,0.03317,0.05757,0.70673,0.008812,0.008812,0.008812
8,5343.08,0.10826,0.12869,0.80172,0.99749,0.99621,0.99495,0.99492,0.03372,0.05359,0.70721,0.008614,0.008614,0.008614
9,5996.36,0.10393,0.12405,0.80055,0.99759,0.99687,0.99496,0.99493,0.03276,0.05176,0.70699,0.008416,0.008416,0.008416
10,6651.35,0.10046,0.1208,0.8001,0.99751,0.99751,0.99496,0.99493,0.03124,0.05139,0.70681,0.008218,0.008218,0.008218
11,7305.24,0.0977,0.11721,0.79999,0.99748,0.99769,0.99495,0.99493,0.03028,0.04879,0.70676,0.00802,0.00802,0.00802
12,7959.95,0.09515,0.1146,0.79976,0.99738,0.99759,0.99496,0.99494,0.03083,0.04915,0.7067,0.007822,0.007822,0.007822
13,8615.27,0.09322,0.11244,0.79869,0.99724,0.99792,0.99495,0.99493,0.03364,0.05235,0.7068,0.007624,0.007624,0.007624
14,9272.28,0.09191,0.11055,0.79831,0.99716,0.99773,0.99496,0.99494,0.0334,0.05269,0.70668,0.007426,0.007426,0.007426
15,9926.24,0.08995,0.10874,0.79816,0.99714,0.99774,0.99495,0.99493,0.03368,0.05789,0.70707,0.007228,0.007228,0.007228
16,10580.6,inf,0.10635,0.79819,0.99734,0.99773,0.99496,0.99494,0.03516,0.05493,0.70693,0.00703,0.00703,0.00703
17,11236,0.08707,0.10582,0.79792,0.99748,0.99777,0.99496,0.99494,0.03221,0.05303,0.70637,0.006832,0.006832,0.006832
18,11891.3,0.08562,0.10343,0.79771,0.99757,0.99758,0.99496,0.99494,0.03214,0.05661,0.70588,0.006634,0.006634,0.006634
19,12548.9,0.08477,0.10238,0.79733,0.99768,0.99753,0.99496,0.99494,0.03165,0.04896,0.70595,0.006436,0.006436,0.006436
20,13204.3,0.08325,0.10129,0.79735,0.99773,0.99758,0.99496,0.99494,0.03208,0.04916,0.70579,0.006238,0.006238,0.006238
21,13859.4,0.08227,0.10034,0.79709,0.99776,0.99785,0.99497,0.99496,0.03132,0.05667,0.7056,0.00604,0.00604,0.00604
22,14514.9,inf,0.09889,0.79647,0.99776,0.99788,0.99498,0.99496,0.03147,0.05153,0.7054,0.005842,0.005842,0.005842
